"id1","teilplan","kategorie","unterkategorie","stand","beschriftung","bemerkungen","oeffentlicheauflage_behoerde","oeffentlicheauflage_datum","oeffentlicheauflage_nummer","festsetzung_behoerde","festsetzung_behoerde_gewalt","festsetzung_datum","festsetzung_nummer","genehmigung_behoerde","genehmigung_datum","genehmigung_nummer","rechtsstatus","objectid","geometry"
"24","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","124","LINESTRING (2678526.8 1248965,2678526.2 1248960.6,2678505 1248902,2678488.8 1248878.6,2678472.5 1248847.8,2678469.5 1248809.1,2678471 1248768.4,2678481.5 1248749.2,2678474 1248733.1,2678460.8 1248724.8)"
"25","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","125","LINESTRING (2678201 1249397.5,2678193.8 1249401.6,2678077.2 1249501.1,2678080.2 1249508)"
"26","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","126","LINESTRING (2678809.2 1249070.4,2678810.8 1249069.6,2678821.8 1249058.5,2678850 1249049.1,2678878.2 1249046.1,2678907.2 1249040.4,2678933.5 1249026.1,2678944.8 1249013)"
"27","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","127","LINESTRING (2678080.2 1249508,2678087.8 1249526.5,2678142.8 1249547.6,2678147 1249568.9,2678147 1249569)"
"28","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","128","LINESTRING (2678663.5 1249336.6,2678722.8 1249458.1,2678746.8 1249520)"
"292","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","188","LINESTRING (2679138 1249220.9,2679138 1249220.1,2679116.8 1249222.4,2679080.5 1249229.4,2679080.2 1249228.9)"
"293","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","189","LINESTRING (2678674 1248659.6,2678651 1248653.2,2678578.8 1248599.6,2678518.2 1248546.4,2678500 1248533.8)"
"384","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","216","LINESTRING (2679165.5 1247921.4,2679189.8 1247944.4,2679190 1247944.5,2679190 1247944.6,2679190.2 1247944.8,2679190.2 1247944.9,2679190.5 1247945,2679190.5 1247945.1,2679190.5 1247945.1,2679251 1248019.5)"
"386","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","218","LINESTRING (2679147.8 1248161.5,2679105.5 1248175.6,2679075.5 1248194.4,2679027.2 1248232.2,2679027.2 1248232.4,2678950.8 1248288.2,2678924.8 1248307.4,2678917.2 1248312.1,2678900.8 1248315.2)"
"181","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","326","LINESTRING (2678659.5 1249328.5,2678663.5 1249336.6)"
"186","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","331","LINESTRING (2679183.8 1249465.5,2679179.2 1249379.4,2679141.2 1249301.6,2679135.5 1249279.9,2679138 1249220.9)"
"187","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","332","LINESTRING (2678946.8 1248588.1,2678975.5 1248709.4,2679074.8 1248929.9,2679116.8 1249022.5,2679132 1249068.9,2679132.2 1249072.1)"
"188","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","333","LINESTRING (2678772.8 1248870.4,2679016.5 1248768.5)"
"190","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","335","LINESTRING (2677724.8 1248851.6,2677570.8 1248903.8,2677427 1249000.5,2677308 1249040.1,2677181.5 1249149.2)"
"191","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","336","LINESTRING (2678059.5 1249174.1,2678084.2 1249246,2678166.2 1249278.2,2678327.5 1249320.4)"
"192","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","337","LINESTRING (2678392 1248668,2678310 1248660.6,2678126.5 1248434.9)"
"551","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","612","LINESTRING (2678835.8 1249540.8,2678888.8 1249706,2678898.2 1249729.1,2678907.8 1249750.9,2678926.2 1249798.6,2678937 1249831.1,2679044.2 1250007.1)"
"730","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","641","LINESTRING (2678655 1249317.1,2678607.2 1249196.6)"
"731","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","642","LINESTRING (2677654.5 1248760.1,2677694 1248706.2,2677736.2 1248662.5,2677762.5 1248638.2,2677798.8 1248619.6,2677844.8 1248585.2,2677906.8 1248540.5,2677944.8 1248527.2,2677990.5 1248517,2678012.5 1248505.2,2678036 1248480.2,2678057.5 1248467.4,2678081 1248460,2678108 1248446.5,2678131.5 1248430.2,2678135.2 1248426.8)"
"732","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","643","LINESTRING (2678147 1249569,2678123.8 1249594.2,2678160.5 1249673.9)"
"733","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","644","LINESTRING (2678626.8 1247427.5,2678594.2 1247408.1,2678535 1247378.8,2678501.2 1247390,2678439 1247404.4,2678359.8 1247413.1,2678334.8 1247425.5,2678334.8 1247447.4,2678356.8 1247490.4,2678372.2 1247526.5,2678354.8 1247544,2678321 1247554,2678303.8 1247555.9,2678280.5 1247545.2,2678250 1247497.2,2678210.8 1247421.8,2678166 1247342,2678141.8 1247297.6,2678111 1247277.8,2678039.8 1247259.6,2677994.5 1247240.4,2677947.8 1247200.5,2677909 1247175.5,2677885.2 1247155.5)"
"833","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","675","LINESTRING (2678674 1248659.6,2678696 1248654.5,2678723.2 1248640.1,2678753.8 1248610.9,2678772.8 1248588.1,2678791.8 1248563.5,2678804.8 1248540.1,2678812.5 1248526.5,2678815.2 1248522.4)"
"836","Velo","Veloroute","","bestehend","","","TAZ","20181122000000","","","","","","","","","Öffentliche Auflage","678","LINESTRING (2679095.8 1248027.5,2679133.5 1247981.8,2679151.8 1247954.2,2679165.5 1247921.4,2679190.2 1247858.2,2679181.5 1247844.5,2679203.5 1247771,2679214.2 1247730.5)"
