elevation,timestamp,ActivityName,ActivityType,rec_id,year,trajID,distance,time_diff,speed,speed_kmh,acceleration,avg_speed_10s,avg_speed_60s,max_speed_10s,avg_acc_10s,avg_acc_60s,max_acc_10s,el_change,d_direct10,d_sinu10,sinuosity,manual_cluster,transformed_values,kmeans4,kmeans5,geometry,c_ward_4,c_single_4,c_compl_4,x,y,c_ward_5,GIS_Group
401.600000000000023,2024-04-06T08:07:38Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,3.439898710961876,1,3.439898710961876,12.383635359462755,0.227639956236346,12.364582589832247,11.922779795190063,20.619668629553768,-0.254221278965362,0.023919524235756,2.685404099737351,0.000000000000000,32.294475156689600,34.074872153132972,1.055130079922496,3,3,3,4,"c(2680061.51880161, 1250221.42916656)",1,1,1,2680061.518801606725901,1250221.429166564019397,1,running
401.600000000000023,2024-04-06T08:07:39Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,4.154040220836196,1,4.154040220836196,14.954544795010305,0.714141509874319,12.155172605708341,11.846051197167425,20.619668629553768,-0.058169440034419,-0.010157359085185,2.685404099737351,0.000000000000000,30.803390290950297,34.142861869161862,1.108412468454574,3,3,3,4,"c(2680064.48677618, 1250219.69019272)",1,1,1,2680064.486776184756309,1250219.690192715497687,1,running
401.600000000000023,2024-04-06T08:07:40Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,4.186133674096217,1,4.186133674096217,15.070081226746382,0.032093453260021,12.299814201243564,11.874052337456559,20.619668629553768,0.040178220982006,0.018934234890308,2.685404099737351,0.000000000000000,30.540957088566952,34.540483984216635,1.130956174164788,3,3,3,1,"c(2680068.21111018, 1250217.85025075)",1,1,1,2680068.211110180243850,1250217.850250747287646,1,running
401.600000000000023,2024-04-06T08:07:41Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,1.875048290979396,1,1.875048290979396,6.750173847525826,-2.311085383116821,12.282187138106933,11.863263985458495,20.619668629553768,-0.004896406426842,0.008159375921642,2.685404099737351,0.000000000000000,28.307918134536706,31.801219413784025,1.123403680293443,3,3,2,3,"c(2680071.64101817, 1250215.45036611)",2,1,1,2680071.641018174123019,1250215.450366106117144,2,running
401.600000000000023,2024-04-06T08:07:42Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,3.901264516456437,1,3.901264516456437,14.044552259243172,2.026216225477040,10.940266292460928,11.733524926328846,15.070081226746382,-0.310889921157367,-0.024882487170466,2.026216225477040,0.000000000000000,28.042741069592143,31.843704729862782,1.135541802095523,3,3,3,4,"c(2680073.16575657, 1250214.3590463)",1,1,1,2680073.165756571106613,1250214.359046302270144,1,running
401.600000000000023,2024-04-06T08:07:43Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,1.538317309004519,1,1.538317309004519,5.537942312416268,-2.362947207451918,11.358912216428173,11.723787830920022,16.169236680651601,0.178156403735202,0.008451391640875,2.864082598112190,0.000000000000000,27.858799678803543,32.895260652415239,1.180785282628085,3,3,2,3,"c(2680076.80859969, 1250212.96278026)",2,1,1,2680076.808599685784429,1250212.962780256988481,2,running
401.600000000000023,2024-04-06T08:07:44Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,3.065933030975841,1,3.065933030975841,11.037358911513028,1.527615721971322,10.805497019607031,11.625616191054759,16.169236680651601,-0.091860574261571,-0.016113759597026,2.864082598112190,0.000000000000000,27.926062067988926,30.490128263365207,1.091816246384248,3,3,3,4,"c(2680078.25033973, 1250212.42630492)",1,1,1,2680078.250339730177075,1250212.426304919645190,1,running
401.600000000000023,2024-04-06T08:07:45Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,3.439903745749020,1,3.439903745749020,12.383653484696470,0.373970714773179,10.428543850999770,11.663162663639579,16.169236680651601,-0.042843344202160,0.021585716083554,2.864082598112190,0.000000000000000,25.493726573388226,29.306233461583002,1.149546865077563,3,3,3,1,"c(2680079.79612078, 1250209.77856885)",1,1,1,2680079.796120780054480,1250209.778568849666044,1,running
401.600000000000023,2024-04-06T08:07:46Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,2.988421159998993,1,2.988421159998993,10.758316175996377,-0.451482585750026,10.202076291638175,11.706501553541180,16.169236680651601,-0.001041786078364,0.023194720893770,2.864082598112190,0.000000000000000,26.481345701767427,30.925334635539393,1.167815827179635,3,3,3,1,"c(2680082.7641066, 1250208.03960422)",1,1,1,2680082.764106597751379,1250208.039604224963114,1,running
401.600000000000023,2024-04-06T08:07:48Z,Lauf am Morgen,running,/11116616348.gpx,2024,1,3.254744070804287,2,1.627372035402143,5.858539327447716,-0.680524562298425,10.992639789995629,11.726522642307437,16.169236680651601,0.281466841065816,0.016717553911730,2.864082598112190,0.000000000000000,26.008778737388315,31.314729099487902,1.204006132532172,3,3,2,3,"c(2680084.90626105, 1250205.95589711)",3,2,2,2680084.906261046882719,1250205.955897108884528,3,running
